Atom-type,Atom-based,Topol-based,traits,kernel,Top2,ACC,Balanced_acc,AUC,MCC,Jaccard,Precision,Recall,F1,Selectivity,G_mean
1,,,100,TAG,0.698529412,0.891689373,0.649506526,0.827640456,0.361677622,0.257009346,0.516431925,0.338461538,0.408921933,0.960551513,0.570183955
1,,,100,ClusterGCN,0.573529412,0.870572207,0.606653507,0.736859441,0.249567705,0.186295503,0.379912664,0.267692308,0.314079422,0.945614707,0.503124024
1,,,100,FiLM,0.573529412,0.889986376,0.614874937,0.74455823,0.310357837,0.208333333,0.505952381,0.261538462,0.344827586,0.968211413,0.503214192
1,,,100,SAGE,0.580882353,0.895435967,0.617938898,0.776278467,0.334022534,0.216836735,0.559210526,0.261538462,0.35639413,0.974339334,0.504804131
1,,,100,Transformer,0.588235294,0.895435967,0.617938898,0.776142946,0.334022534,0.216836735,0.559210526,0.261538462,0.35639413,0.974339334,0.504804131
1,,,100,MF,0.830882353,0.891689373,0.758610612,0.892179242,0.486184412,0.37524558,0.509333333,0.587692308,0.545714286,0.929528916,0.739105536
1,,,100,GAT,0.470588235,0.889305177,0.5,0.605873376,0,0,0,0,0,1,0
1,,,100,GCN,0.477941176,0.888623978,0.500963969,0.663554194,0.016399334,0.00304878,0.25,0.003076923,0.006079027,0.998851015,0.055438143
1,,,100,GIN,0.683823529,0.883174387,0.607004095,0.825336004,0.278456813,0.192941176,0.450549451,0.252307692,0.3234714,0.961700498,0.492589518
,1,,10,TAG,0.801470588,0.895095368,0.761872551,0.894563828,0.496878273,0.384,0.523160763,0.590769231,0.554913295,0.932975871,0.742410559
,1,,10,ClusterGCN,0.786764706,0.885217984,0.70513449,0.856868868,0.413066466,0.313645621,0.48125,0.473846154,0.47751938,0.936422827,0.666123378
,1,,10,FiLM,0.808823529,0.885217984,0.713216274,0.855930236,0.422479782,0.32193159,0.481927711,0.492307692,0.487062405,0.934124856,0.678142207
,1,,10,SAGE,0.794117647,0.877384196,0.73844504,0.865226409,0.436633169,0.335793358,0.456140351,0.56,0.502762431,0.91689008,0.716560148
,1,,10,Transformer,0.794117647,0.900885559,0.709902484,0.870723271,0.457332831,0.341628959,0.563432836,0.464615385,0.509274874,0.955189583,0.666179987
,1,,10,MF,0.875,0.898841962,0.78283652,0.91318151,0.526386388,0.409542744,0.536458333,0.633846154,0.581100141,0.931826886,0.76852774
,1,,10,GAT,0.713235294,0.882833787,0.713222756,0.836127037,0.417602215,0.318811881,0.472140762,0.495384615,0.483483483,0.931060896,0.679141549
,1,,10,GCN,0.654411765,0.869550409,0.57779277,0.786900392,0.198420839,0.146993318,0.347368421,0.203076923,0.25631068,0.952508617,0.43980964
,1,,10,GIN,0.691176471,0.882493188,0.699561618,0.841322806,0.400748035,0.304435484,0.468944099,0.464615385,0.466769706,0.934507851,0.658928467
,,1,1,TAG,0.786764706,0.890667575,0.724362019,0.865288277,0.44692406,0.340862423,0.506097561,0.510769231,0.508422665,0.937954807,0.692154936
,,1,1,ClusterGCN,0.823529412,0.884536785,0.702057567,0.849924285,0.407992191,0.309572301,0.477987421,0.467692308,0.472783826,0.936422827,0.661783766
,,1,1,FiLM,0.838235294,0.890326975,0.732252305,0.882804702,0.454872074,0.348178138,0.504398827,0.529230769,0.516516517,0.935273841,0.703545091
,,1,1,SAGE,0.779411765,0.88760218,0.710515865,0.86149427,0.424485383,0.32238193,0.492163009,0.483076923,0.48757764,0.937954807,0.673130241
,,1,1,Transformer,0.830882353,0.88113079,0.755368117,0.879495036,0.462309891,0.356088561,0.470731707,0.593846154,0.525170068,0.91689008,0.737896773
,,1,1,MF,0.867647059,0.891348774,0.777276611,0.902625578,0.505086564,0.391221374,0.507425743,0.630769231,0.562414266,0.923783991,0.763344298
,,1,1,GAT,0.698529412,0.88147139,0.663966061,0.805803848,0.354292671,0.264270613,0.457875458,0.384615385,0.418060201,0.943316737,0.602340543
,,1,1,GCN,0.691176471,0.883855586,0.658571723,0.809693309,0.352706512,0.260303688,0.46875,0.369230769,0.413080895,0.947912677,0.591606733
,,1,1,GIN,0.669117647,0.870231608,0.663034499,0.811007866,0.331034652,0.252941176,0.410828025,0.396923077,0.403755869,0.929145921,0.607288612
1,1,,110,TAG,0.830882353,0.898501362,0.782645023,0.912168046,0.525449351,0.408730159,0.535064935,0.633846154,0.58028169,0.931443891,0.768369786
1,1,,110,ClusterGCN,0.823529412,0.846049046,0.776052794,0.870571841,0.437077135,0.33037037,0.389179756,0.686153846,0.496659243,0.865951743,0.770828203
1,1,,110,FiLM,0.816176471,0.883855586,0.709756356,0.863658486,0.415624089,0.316633267,0.475903614,0.486153846,0.480974125,0.933358866,0.673614135
1,1,,110,SAGE,0.823529412,0.89373297,0.744942993,0.890761571,0.476112265,0.365853659,0.518731988,0.553846154,0.535714286,0.936039831,0.72001532
1,1,,110,Transformer,0.816176471,0.886239782,0.759587544,0.896831158,0.476356787,0.367424242,0.488664987,0.596923077,0.537396122,0.922252011,0.741965975
1,1,,110,MF,0.882352941,0.903269755,0.794754736,0.917920632,0.547961833,0.428571429,0.553246753,0.655384615,0.6,0.934124856,0.782439173
1,1,,110,GAT,0.698529412,0.883855586,0.703021536,0.842894853,0.407696041,0.309716599,0.47515528,0.470769231,0.472952087,0.935273841,0.663549657
1,1,,110,GCN,0.661764706,0.877043597,0.564495183,0.786243997,0.188644878,0.128019324,0.373239437,0.163076923,0.226980728,0.965913443,0.396885616
1,1,,110,GIN,0.772058824,0.88147139,0.708415874,0.861302183,0.409232467,0.312252964,0.466076696,0.486153846,0.475903614,0.930677901,0.672646
1,,1,101,TAG,0.816176471,0.90599455,0.761265651,0.901492502,0.522531302,0.403887689,0.575384615,0.575384615,0.575384615,0.947146687,0.738223294
1,,1,101,ClusterGCN,0.823529412,0.890326975,0.689149456,0.872580503,0.406051535,0.303030303,0.505415162,0.430769231,0.465116279,0.947529682,0.6388792
1,,1,101,FiLM,0.860294118,0.889645777,0.745338951,0.886782547,0.46770112,0.359683794,0.50137741,0.56,0.529069767,0.930677901,0.721927714
1,,1,101,SAGE,0.845588235,0.870912807,0.749623192,0.884557641,0.438845264,0.337412587,0.438636364,0.593846154,0.504575163,0.90540023,0.733258784
1,,1,101,Transformer,0.808823529,0.890326975,0.725517485,0.885351324,0.447442746,0.341513292,0.504531722,0.513846154,0.509146341,0.937188817,0.693953074
1,,1,101,MF,0.875,0.899182561,0.818049082,0.917089827,0.561781954,0.439393939,0.533333333,0.713846154,0.610526316,0.922252011,0.811385267
1,,1,101,GAT,0.669117647,0.888623978,0.649130012,0.777839319,0.352509896,0.253424658,0.495535714,0.341538462,0.404371585,0.956721563,0.571626811
1,,1,101,GCN,0.661764706,0.884196185,0.672232861,0.821780632,0.370938869,0.276595745,0.472727273,0.4,0.433333333,0.944465722,0.614643221
1,,1,101,GIN,0.727941176,0.878065395,0.693031258,0.846478508,0.38400271,0.292490119,0.449848024,0.455384615,0.452599388,0.930677901,0.651011826
,1,1,11,TAG,0.830882353,0.895435967,0.767451905,0.897411543,0.503379405,0.389662028,0.524064171,0.603076923,0.560801144,0.931826886,0.749642109
,1,1,11,ClusterGCN,0.779411765,0.88760218,0.714556757,0.864408567,0.429113514,0.326530612,0.492307692,0.492307692,0.492307692,0.936805822,0.679114653
,1,1,11,FiLM,0.816176471,0.894073569,0.719542174,0.871548184,0.449577982,0.341101695,0.522727273,0.495384615,0.508688784,0.943699732,0.683735569
,1,1,11,SAGE,0.816176471,0.891689373,0.738406151,0.88516513,0.464568025,0.356275304,0.510144928,0.541538462,0.525373134,0.935273841,0.71167883
,1,1,11,Transformer,0.779411765,0.88726158,0.74130454,0.89156586,0.458388275,0.352250489,0.491803279,0.553846154,0.520984081,0.928762926,0.717211109
,1,1,11,MF,0.852941176,0.90020436,0.802460006,0.914083611,0.548686725,0.428849903,0.539215686,0.676923077,0.600272851,0.927996936,0.792579675
,1,1,11,GAT,0.705882353,0.888964578,0.716669711,0.846558642,0.434512575,0.330595483,0.498452012,0.495384615,0.49691358,0.937954807,0.681651217
,1,1,11,GCN,0.669117647,0.880790191,0.666276994,0.806421353,0.355802829,0.266247379,0.455197133,0.390769231,0.420529801,0.941784757,0.606646936
,1,1,11,GIN,0.676470588,0.865122616,0.669590785,0.837825178,0.331305803,0.255639098,0.396501458,0.418461538,0.407185629,0.920720031,0.620714041
1,1,1,111,TAG,0.867647059,0.895776567,0.778419114,0.915155408,0.51532936,0.4,0.524421594,0.627692308,0.571428571,0.929145921,0.763686943
